"SHORT NAME","FULL NAME","TYPE","FOR SUB-PROJECTS:  RELATED FULL LOIs [List separated by semicolon]","FOR FULL PROJECTS: RELATED SUB LOIs [List separated by semicolon]","PUBLIC DESCRIPTION","LEAD [FirstName LastName |separated by semicolon]","CO-LEAD [FirstName LastName |separated by semicolon]","CHAMPION [FirstName LastName, Profession, Organization |separated by semicolon]","PRIMARY CHALLENGE","SECONDARY CHALLENGE [List separated by semicolon]","LOI FILE","SUPPLEMENTAL"
"IIDEMS","Integrated and Interactive Design and Engagement Media for Sustainability",,,"PRIDES","Integrated and Interactive Design and Engagement Media for Sustainability develops approaches, tools and techniques to enhance, engage and inform consideration of sustainability directly within the decision making contexts and processes of the many and diverse agents (planners, designers, developers, regulators, owners, operators and other stakeholders) who conceive, plan, design, produce, operate and inhabit the built environment.","Philip Beesley","Ronald Kellett","Azam Khan, Autodesk","SUSTAINABILITY",,"IIDEMS.pdf",
"INCLUDE2","INCLUDE 2.0",,,"INCLUDE2","Researchers in the INCLUDE project will carry out research and creative practice activities with a focus on people with disabilities and older people. There are six different focus areas in which various researchers will work; these include social justice issues,  health, inclusive technology to support cognition, communication, accessing knowledge and  creative expression.","Deborah Fels","Joanna McGrenere","Shari Trewin, IBM","HEALTH",,"INCLUDE2.pdf",
"INDIEGAME","INDIEGAME",,,"INDIEGAME; (WATERLOO)","This project mobilizes GRAND NCE research capacity in the service of independent and small studio game developers in the context of broad cultural and economic changes within the global game industry as a whole. Researchers will collaborate with indie developers to understand and facilitate economic sustainability, develop appropriate technology, conduct basic R&D, promote cultural awareness and inclusion, and foster national and international representation for this emerging digital economic sector.","Bart Simon","Sean Gouglas","Jason Della Rocca, Execution Labs","WORK",,"INDIEGAME.pdf",
"KIDZ","Supporting children learning in a digital world",,,"KIDZ; (GLOBALCHILD)","Interactive media have a radical potential to change how children learn. However, few theoretical or empirical findings relate claimed benefits to specific causes, or educationally validate design guidance. KIDZ will develop and validate best practices for designing interactive systems that support children’s learning in high impact, traditionally underserved areas in child development, including games, collaboration tools, therapeutic interventions, and media production; as well as build Canada-wide educational networks.","Alissa Antle","Karon MacLean","Kori Inkpen Quinn, Microsoft Research - Redmond","LEARNING",,"KIDZ.pdf",
"KNOW","Knowledge Networking for Organizational Work",,,"CRI; (ENOW); (SNETS)","Knowledge-based work is often the activity of many experts, from different disciplines, using& a variety of tools for discipline-specific and collaborative tasks. Supporting this complex ecosystem requires new software tools to enable and coordinate the exchange of digital artifacts and information within a team in order to maintain awareness and cohesion and to effectively communicate and disseminate a team’s work to potential receptors in order to amplify its impact. This project will systematically study knowledge-work ecosystems using ethnographic and data-analytics methods to better understand the needs for improved tools and policies.","Eleni Stroulia","Anatoliy Gruzd","David Baker, CASRAI","WORK",,"KNOW.pdf",
"MOVITA","New Directions in Moving Image Technology and Aesthetics",,,"MOVITA2","The MOVITA researchers are exploring and defining the future of the moving image for the 21st century. MOVITA examines the roles that new technologies, new creative practices, and new forms of storytelling will play in our experience of the moving image. We will use multiple approaches including: prototyping tools, artistic creation, interface design, perceptual testing, social construction, media analysis, and scholarship. This work will result in innovations of new forms and creation technology for future media.","Maria Lantin","Jim Bizzocchi","Jim Slevinsky, TELUS","ENTERTAINMENT",,"MOVITA.pdf",
"NEWS2","NEWS2",,,"NEWS2","The NEWS project examines the production and consumption of news in the online environment, exploring issues such as the intersection of news and 'big data', new methods of organizing and accessing news, the relationship between news and social media, 'new' journalism in the online environment, and news consumption online. Our goal is twofold: to understand news production and consumption online, and to develop tools, policies, and strategies that optimize online news.","Jacquelyn Burkell","Charles Clarke","David Skok, Global News","CITIZENSHIP",,"NEWS2.pdf",
"NMSL","New Media for Sustainable Living",,,"BUSY","Making a positive impact on climate change involves policy, social change, human behaviour and technology.  All of these involve systems that serve and are used by people.  In particular, how people use the built environment around them is a critical factor in making those environments operate more sustainably.  IMSL explores how new technologies can promote awareness, encourage conservation and enable control of energy and water use from both computational, social and psychological perspectives.","Lyn Bartram","Melanie Tory","Jim Nelson, BC Hydro PowerSmart","SUSTAINABILITY",,"NMSL.pdf",
"PROTECT","Policy, Practice and Technology for Protection of Privacy, Integrity and Access",,,"PRIVLIT; (INFPO); (TRUST)","Much of life is now online, but this new landscape presents challenges for protection of privacy, integrity and access. We propose that the key problem is a lack of shared understanding for policy, practice, and technology.   We propose a multi-disciplinary approach involving social scientists and technologists working together to create a framework for shared understanding of the landscape, and a shared language for citizen engagement about the challenges and solutions.","Robert Biddle","Catherine Middleton","Tony Bailetti, Venus Cybersecurity Corporation","CITIZENSHIP",,"PROTECT.pdf",
"RILDIM","Smart Tools to Support Research-Intensive Learning with Digital Media in MOOCs and Solo Contexts",,,"RILDIM","To help learners learn more effectively in  today’s world of digital media, our research focuses on three goals: (1) building state-of-the-art software that unobtrusively gathers data about these how learning happens, (2) adapting and inventing powerful techniques that use these data to model what makes learning effective, and (3) developing and testing software tools that help learners learn with digital media by providing clear, helpful guidance and feedback they need to extend knowledge and build skills for learning online.","Philip Winne","Dragan Gasevic","David Porter, Bccampus","LEARNING",,"RILDIM.pdf",
"SENSE-I","Sense-I: ""I make sense of big data""",,,"BIG; SENSEMAKING; (ICARE)","We have more data than we can understand. We call this phenomenon Big Data. It will only get worse. Almost every human endeavour can benefit from making sense of the information within such data. A range of disciplines each bring specific concepts, techniques and tool to the general task of interrogating, visualizing, analysing and understanding complex data. All contribute. None suffice. It is, however, widely understood that effective approaches and systems will combine human and machine capabilities. We need better and more comprehensive models for sensemaking. That is why this project is called Sense-I: ""I make sense of big data"".","Wolfgang Stuerzlinger","Charles Clarke<br />Melanie Tory","Alan Keahey, IBM Business Analytics - Office of the CTO","BIG DATA",,"SENSE-I.pdf",
"USENET","Social Networking and Social Capital in Digital Environments: Policy Implications for User Subgroups of Canadian Society",,,"USENET; (DIGIHOUSE); (MANITECH); (NIND); (SOCIABLE); (SMARTMAIN)","Canadians rely on a wide range of digital tools to stay connected with friends, family, and co-workers. We examine how digital connectivity has transformed the structure of society from groups to loosely-coupled networks and how these transformations change social capital, namely the ability of Canadians to mobilize resources through these digital networks, such as information, social support, and health advice.  We focus also on the policy implications of a user-centered design for Canada's networked society.","Anabel Quan-Haase","Barry Wellman","Lee Rainie, Pew Internet and American Life Project","CITIZENSHIP",,"USENET.pdf",
