"SHORT NAME","FULL NAME","TYPE","FOR SUB-PROJECTS: 
RELATED FULL LOI(S)","FOR FULL PROJECTS:
RELATED SUB LOI(S)","PUBLIC DESCRIPTION","LEAD","CO-LEAD","CHAMPION","PRIMARY CHALLENGE","SECONDARY CHALLENGE","LOI FILE","SUPPLEMENTAL"
"CREATE","Creative and Expressive Interfaces","Full Project","N/A",,"A grand ongoing challenge in graphical human computer interaction grapples with enabling 
creativity: inventing interfaces and interaction techniques that allow us to turn a creative idea into an expressive digital artifact be it an image, a 3D model, an animation, a game or a collaborative experience. This project will define the next generation of graphical interaction combining multimodal input  with large public data repositories of existing content to enable professionals express themselves digitally.","Faramarz Samavati
University of Calgary","Karan Singh
University of Toronto","Ryan Schmidt
Research Scientist,
Autodesk","Entertainment","Learning
Healthcare
Sustainability
Big Data
Work
Citizenship
Other","CREATE.pdf",
"CRI","Collaborative Research Infrastructures","Full Project","N/A","ENOW
INFPO
SNETS","Scholarly work and research is becoming large and interdisciplinary; it needs to be supported 
and analyzed in novel ways since impact is not what it used to be. Support involves technical infrastructures of three kinds: (a) administrative systems; (b) asset repositories; (c) platforms for conducting experiments. Analysis can be of two types (a) observed and (b) self‐reported. The first involves (a) formal productivity; (b) informal/grey impact; (c) activity analysis based on the tools logs. The latter involves surveys of individuals and social networks and their evolution.","Eleni Stoulia
University of Alberta","Anatoliy Gruzd,
Dalhousie University ","Charles Humphrey
Head, Data Library & Academic Director ,
Research Data Centre, 
U Alberta, CASRAI, IASSIST, CODATA","Work","Learning
Healthcare
Big Data","CRI.pdf",
"CUSTOM","Data-driven Customization of Planning, Optimization, 
and Search Methods","Full Project","N/A",,"General planning, optimization, and search methods play a crucial role in solving computational problems in a broad range of application areas, including health care, resource allocation, game-playing, computer graphics, and logistics. This project will develop new ways of automatically improving the performance of general-purpose algorithms on specific applied problems by gathering and analyzing data on algorithm behaviour. The result will allow planning, optimization, and search algorithms to find better solutions more quickly for a broad range of important problems.","Martin Müller
University of Alberta","Holger Hoos
University of British Columbia","Mary Fenelon
Program Manager, 
IBM ","Big Data","Healthcare
Sustainability ","CUSTOM.pdf",
"DATUM","DATa- and User-driven Modeling of visual content","Full Project","N/A",,"Content creation is a key challenge in computer graphics applications arising in such domains as education, design, manufacturing, and entertainment. While it is relatively easy to acquire image/video/low-level 3D measurement data, it is difficult to generate application-specific digital models that are realistic, diverse (even creative), functional, and adaptable. In this project, we address the modeling challenge by developing novel approaches to data- and user-driven modeling, leveraging recent advances in data capture and acquisition, knowledge-driven analysis, as well as the accelerated accumulation of ``big data''.","Pierre Poulin
University of Montreal","Hao (Richard) Zhang
Simon Fraser University ","Jos Stam
Senior Research Scientist,
Autodesk Research","Entertainment","Learning
Healthcare
Sustainability
Big Data
","DATUM.pdf",
"DIGIHOUSE","Uses of Digital Tools in Low-Income Housing Projects: Digital Literacy 
as a New Avenue","Subproject","USENET","N/A","Canadians rely on a wide range of digital tools to stay connected with friends, family, and 
co-workers. We examine how digital connectivity has transformed the structure of society from groups to loosely-coupled networks and how these transformations change social capital, namely the ability of Canadians to mobilize resources through these digital networks, such as information, social support, and health advice.  We focus also on the policy implications of a user-centered design for Canada's networked society. ","Anabel Quan-Haase
UWO",,"Shelly Wilkins
Director,
Chatham-Kent Municipality ","Citizenship
","Healthcare
Sustainability 
Work
Learning
Other (policy)","DIGIHOUSE.pdf",
"DIGIPUB","Digital Publics: Writing about new media, technology and culture","Full Project","N/A","LISTEN
VICTOR","A project focused on public writing about new media, technology and culture in Canada. This 
project combines opportunities for training HQPs in digital technology journalism with a new mode of dissemination for information about the primary themes and challenges of the GRAND NCE.  Pause Button, the publication at the centre of this project, is directed at general (rather than academic or professional) audiences for cultural research and criticism in Canada and around the globe.  ","Darren Wershler,
Concordia University, English Dept. ","Abby Goodrum,
Wifrid Laurier University","Clive Thompson
Freelance tech journalist,
Wired, The New York Times","Other / all",,"DIGIPUB.pdf",
"ENGAGE","Enabling Networks of Game Activism and Game Entrepreneurship  ","Full Project","N/A",,"ENGAGE will address two key, interrelated problems: a marked decline in the production of 
new Canadian-owned intellectual property in the video game industry and the astonishing disparity that exists between men and women in the same industry in terms of employment and game production. ","Jennifer Jenson
York University ","Sean Gouglas
University of Alberta","Brenda Gershkovitch
CEO,
Silicon Sisters","Learning","Entertainment
Big Data
Work","ENGAGE.pdf",
"ENOW","Effective Networked Organizations and Work","Subproject","CRI
NIND
PRIVNM
SNETS","N/A","The project builds upon and extends the NAVEL study to examine how researchers and corporate employees collaborate and exchange information. In GRAND, we will re-focus our attention to partners and to knowledge and technology transfer. A second research site will extend study to corporate employees. The results will shed light on the structures and practices that most effectively foster collaboration and knowledge exchanges across disciplinary, institutional and geographic boundaries. ","Barry Wellman,
University of Toronto","Anatoliy Gruzd,
Dalhousie University ","Ken Anderson 
Director of User Studies,
Intel ","Work","Learning
Healthcare
Big Data","ENOW.pdf",
"EXPERT","Expert in a Box: Extracting, Consolidating, and Applying 
Expertise from Big Data and the Crowd for Individual Work","Full Project","N/A",,"This project will develop tools and techniques that gather and distill web-based knowledge, 
organize and focus crowd-based resources, and streamline and adapt user interfaces to empower individuals to operate as experts, with their software and in their problem domain.","Michael Terry,
University of Waterloo","Andrea Bunt,
University of Manitoba","Tovi Grossman, 
George Fitzmaurice,
Autodesk","Work","Learning
Healthcare
Big Data","EXPERT.pdf",
"G4HLTH","Games for Health","Full Project ","N/A","TAMP","The things that make us healthy can be tedious or intimidating, like carrying out daily 
rehabilitation exercises, being physically active, or engaging in the cognitive training that helps a child with autism regulate their moods. Video games can help by turning healthy activities into fun and engaging play. In this project, we will design and test video games for a wide range of healthcare issues such as stroke rehabilitation, anxiety and pain management, and social exercise for children with physical disabilities.","Nicholas Graham
Queen's University ","Kevin Stanley
University of Saskatchewan","Corry Thomas
Senior Program Director,
Holland Bloorview Kids Rehabilitation Hospital","Healthcare","Entertainment","G4HLTH.pdf",
"GLOBALCHILD","A comprehensive electronic platform for 
monitoring child rights","Subproject",,"N/A","This LOI is a proposal to develop GlobalChild, a high performance digital platform for monitoring international child rights. GlobalChild will improve the quality of country reporting to the UN Committee on the Rights of the Child and enable a rights-based approach for enhancing child development, maximizing developmental outcomes, and improving health for all children. The Human Early Learning Partnership at UBC will partner with GRAND, academic institutions in Canada and abroad, and international development agencies.","Ziba Vaghri,
University of British Columbia","N/A","Yanghee Lee,
Professor, Child Psychology
Sungkyunkwan University, Seoul, Korea","Citizenship","Healthcare
Work","GLOBALCHILD.pdf",
"HLTHSIM2","Simulator Design and Evaluation for Healthcare and Surgical Training","Full Project","N/A",,"The use of Graphics and New Media can be applied to the design of simulators for Healthcare 
Training; including the design and evaluation of surgical simulators -- ranging from VR and AR for basic skills training, to serious games for surgical reasoning and team-based training.","Roy Eagleson
UWO","Bill Kapralos
University of Oshawa,
Institute of Technology","Teodor Grantcharov
Surgeon, Director of Simulation Centre
St Michael's Hospital, Toronto
","Healthcare","Learning","HLTHSIM2.pdf",
"HUMAN","The Big Humanities","Full Project ","N/A",,"Humanists ask about our values, the stories and the histories. The humanities curate and study 
the cultural record. This record is now being digitized and aggregated into large-scale archives which is changing everything from how we access our cultural heritage to what questions we can ask. The Big Humanities looks at the opportunities and challenges of the large scale of digital culture.","Michael Eberle-Sinatra
Université de Montréal","Geoffrey Rockwell
University of Alberta",,"Big Data","Entertainment
Learning
Sustainability","HUMAN.pdf",
"ICARE","Interfaces for Natural Workflow, Visualization and Management in 
Long-Term Care Environments","Subproject","BIG","N/A","The research team is developing a series of interactive prototypes that would roll up into the 
design for an iCare system.  This system’s intention is to provide mobile support for caregivers drawing on data analytics, visualization, and social media. The research will result in design and engineering documents, interactive prototypes, reports on usability testing and analysis on potential best practices for such systems within long-term care environments, such as, assisted living, long term care, nursing homes and home care for elderly, mental care or people with disabilities.","Sidney Fels
University of British Columbia","Derek Reilly
Dalhousie University 

and/or

Sara Diamond
OCAD University ","David Kasik
Senior Scientist,
Boeing Corp.","Big Data","Healthcare
Work
Entertainment","ICARE.pdf",
"INCLUDE",,"Full Project","N/A",,"Researchers in the INCLUDE project will carry out research and creative practice activities with 
a focus on people with disabilities and older people. There are six different focus areas in which various researchers will work; these include social justice issues,  health, inclusive technology to support cognition, communication, accessing knowledge and  creative expression.","Deborah Fels
University of British Columbia","Joanna McGrenere
University of British Columbia","Maria Karam
CEO
TAD Inc. ","Healthcare","Entertainment
Citizenship","INCLUDE.pdf",
"INDIEGAME","Indie Eh?: Facilitating Independent Game Development in Canada","Full Project","N/A","LISTEN
VICTOR","This project mobilizes the GRAND NCE in the service of emergent, independent sub-SME and 
SME game developers across Canada. We collaborate with indies to understand and facilitate economic sustainability, appropriate technology, basic R&D, cultural awareness and inclusion, and national and international representation.  ","Bart Simon
Concordia University ","Sean Gouglas
University of Alberta","Jason Della Rocca
Director / CEO
Execution Labs","Work","Entertainment
Learning
Sustainability","INDIEGAME.pdf",
"INFPO","Informing Policy for Canada's Digital Economy: Infrastructure, 
Information Access and Control","Subproject","CRI
NEWS2
","N/A","This subproject seeks to inform and influence the development of public policies that facilitate 
citizenship and engagement in Canada's digital economy. Particular areas of interest include the development and engaged use of Canada's mobile and fixed line communication infrastructures (ensuring internet and communications access for all) and consideration of policies and technological mechanisms that influence information access and control (especially censorship, copyright and privacy).","Catherine Middleton
Ryerson University","Sam Trosow
University of Western Ontario","Alain Beaudoin
Acting ADM, Spectrum, Information 
Technologies & Telecom
Industry Canada","Citizenship","Entertainment
Learning
Healthcare","INFPO.pdf",
"KIDZ","Supporting children learning in a digital world","Full Project","N/A",,"Interactive media have a radical potential to change how children learn. However, despite a 
long history of research, there is little theoretical or empirical work that identifies specific causes for claimed benefits, nor educationally validated design guidance. KIDZ will develop and validate best practices for designing interactive systems that support children’s learning in high impact, traditionally underserved areas in child development, including games, collaboration, therapeutic interventions and children’s media production. ","Alissa Antle
Simon Fraser University ","Karon MacLean
University of British Columbia","Kori Inkpen Quinn
Research Manager / Principle Researcher
Microsoft Research - Redmond","Learning","Entertainment
Healthcare
Sustainability 
Citizenship","KIDZ.pdf","KIDZ_References.pdf"
"LISTEN","Tangible Listening: Developing Multi-Modal and Interactive Games 
For Listening to Spoken Word Recordings","Subproject","MAKE
DIGIPUB
INDIEGAME","N/A","This project will explore the impact of visualization, interactive touch, gesture and ludic
 engagement upon the practice of close listening to spoken word poetry recordings.  How might we use multi-modal mobile media platforms to alter, enhance, disrupt, radicalize the way we listen  to the recorded spoken word?  This project aims to explore and realize answers to this question.","Jason Camlot
Concordia University ",,"Al Filreis
Kelly Professor, Co-Director Penn Sound
University of Pennsylvania ","Entertainment
","Sustainability 
Learning","LISTEN.pdf",
"LPD","Living with Personal Data","Full Project","N/A",,"Data surrounds us in our daily lives, ranging from activity logs, to health issues, to home energy 
use, to social media, to data about our hobbies and interests. There is enormous potential to use this data to understand ourselves better and make positive changes in our lives. Yet supporting the analysis and understanding of personal data brings a unique set of challenges. Our interdisciplinary approach, determines best practices by combining computer science, social science, ethnographic, art and design methods.","Sheelagh Carpendale
University of Calgary","Paula Gardner
OCADU","Rock Leung
Manager, 
SAP Academic Research Centre","Big Data","Entertainment
Learning
Healthcare
Sustainability 
Work
Citizenship","LPD.pdf",
"MAKE","Collective and Participatory Practices for Culture, Games, and
Technology","Full Project","N/A","LISTEN
VICTOR","The MAKE project will research and develop effective social, technical, and organizational 
platforms and tools for museums, games, and maker communities in response to the rise of social technologies and participatory maker movements.","Ron Wakkary
Simon Fraser University ","Lynn Hughes
Concordia University ","Andrew Hughes
Fredrik S Eaton Curator, Canadian Art
Art Gallery of Ontario","Entertainment","Learning
Sustainability
Work
Citizenship","MAKE.pdf",
"MANITECH","Studying Technology Use in Northern Manitoba","Subproject","USENET","N/A",,,,,,,"MANITECH.pdf",
"MEASURE","Measurement-driven Simulation of Objects in Contact","Subproject","COLT","N/A","Physically realistic simulation is an important part of training simulations, computer games,
 interactive multi-media and movies.  There are challenges in achieving realism due to the difficultly of choosing and tuning the parameters of physics simulators.  Our goal is to design methods that allow real-world behavior to be simply copied and pasted into interactive animations.  This project will enable realistic simulations based on visual measurements of objects in contact.","Paul Kry
McGill University ","Jochen Lang
University of Ottawa","Marek Teichmann
CTO,
MCLabs","Learning","Entertainment
Healthcare
Big Data","MEASURE.pdf",
"MIDEASS","Multimedia Integrated Data-Enabled Approaches to Sustainability 
Across Scales","Subproject","SENSEMAKING++
SHARE","N/A","Multimedia Integrated Data-Enabled Approaches to Sustainability Across Scales (MIDEASS) will 
explore digital media tools to improve the ways that data and information can be accessed, managed and communicated as spatial, visual and quantitative evidence of sustainability performance in the planning and design processes of single buildings, neighbourhoods, cities and regions.","Ronald Kellett
University of British Columbia",,"Azam Kahn
Head, Environment & Ergonomics 
Research Group,
Autodesk","Sustainability
","Big Data
Citizenship","MIDEASS.pdf",
"MOBIS","Sustainable Mobility in Healthcare and Beyond","Subproject",,"N/A","Smartphones are ubiquitous computing devices powerful and sophisticated enough to assist in
 delivering vital healthcare services, like fall and distress detection in seniors, navigation for visually impaired and others. They hold an enormous potential to alleviate the healthcare crisis in North America. To tap into this potential smartphones must operate in the always-on mode, but the challenge is limited battery life. This project will address the challenge by designing energy-smart mobile operating systems and applications.","Alexandra Fedorova,
Simon Fraser University ","N/A","Serag Gadelrab,
Director of Engineering
Qualcomm","Healthcare","Sustainability ","MOBIS.pdf",
"MOVITA2","New Directions in Moving Image Technology and Aesthetics","Full Project","N/A",,"MOVITA addresses the technologies, creative directions, and social practices that determine how entertainment products and services are made and experienced. Multiple approaches are necessary for such a complex subject: technology development, artistic creation, perceptual testing, social construction, media analysis and scholarship. This work will result in the development of new forms and platforms for media, as well as the tools and products to support them, in collaboration with Canadian companies.","Maria Lantin
ECUAD","Jim Bizzocchi
Simon Fraser University ","Jim Slevinsky
Director, Technology Strategy
Telus","Entertainment","Big Data
Citizenship","MOVITA2.pdf",
"NEWS2","Access to News Media: Production, Search, Retrieval and 
Distribution","Full Project","N/A","INFPO","The NEWS project examines the production and consumption of news in the online 
environment, exploring issues such as the intersection of news and 'big data', new methods of organizing and accessing news, the intersection of news and social media, 'new' journalism in the online environment, and news consumption online. Our goal is twofold: to understand news production and consumption online, and to develop tools, policies, and strategies that optimize online news.","Jacquelyn Burkell
UWO","Charles Clarke
University of Waterloo","Valentine Matula
Director, Multimidia Tech Research
Avaya Canada","Citizenship","Entertainment
Learning
Healthcare
Sustainability 
Big Data
Work","NEWS2.pdf",
"NIND","Networked individuals","Subproject","USENET
NIND","N/A","How are digital media transforming Canadians' lives? Alarmists fear that community and family 
are withering as people get immersed in the internet and mobile devices. By contrast, survey research done by our NetLab and others is showing that digital media can augment relationships and help North Americans to maintain even more far-flung and diversified content. We use in-depth interviews and network analysis to evaluate this transformation of interpersonal relations.","Barry Wellman,
University of Toronto","Anabel Quan-Haase
UWO","Lee Rainie
Director,
Pew Internet and American Life Project","Citizenship","Learning
Healthcare
Big Data
Work","NIND.pdf",
"NMSPS","New Media in Social Practice  Sustainability","Full Project","N/A",,"See supplemental ","TBD","TBD
Pacific Institute for Climate Solutions","Thomas Pedersen
Director,
Pacific Istitute for Climate Solutions","Sustainability ",,"NMSPS.pdf","SustThemeProposal.pdf"
"PRIDES","People and Resources in Interactive Design Environments for 
Sustainability","Full Project","N/A",,"See supplemental ","Philip Beesley
University of Waterloo","Ronald Kellett
University of British Colubia","Azam Khan
Senior Researcher,
Autodesk","Sustainability
","Big Data","PRIDES.pdf","SustThemeProposal.pdf"
"PRIVLIT","Literacy in New Media Privacy and Security","Full Project","N/A",,"Much of life is now online, but privacy and security in this new landscape continue to be 
challenging.  We propose that the key problem is a lack of shared literacy.   We propose a multi-disciplinary approach involving social scientists and technologists working together to create a framework for shared understanding of the landscape, and a shared language for citizen engagement about the challenges and solutions.","Robert Biddle
Carleton University ","Jacqueline Burkell
UWO","Michael Geist
University of Ottawa
Canada Research Chair in Internet and E-Commerce Law","Citizenship","Learning
Healthcare
Big Data
Work","PRIVLIT.pdf",
"PROGRES","Programming energy-efficient systems for sustainability ","Subproject",,"N/A","Computer systems consume exorbitant amount of energy. In 2006 datacenters worldwide used more power than the entire country of Mexico. To answer this challenge hardware designers are exploring aggressive designs with superior energy efficiency. This new hardware, is substantially different from conventional systems,  and therefore, requires heroic effort from the programmer. Our project will design tools that will enable productive programming of this hardware while fully tapping into its energy efficient potential","Alexandra Fedorova,
Simon Fraser University ","N/A","Pierre Paulin
Director,
ST Microelectronics Canada","Sustainability
","Entertainment
Healthcare","PROGRES.pdf",
"RILDIM","Smart Tools to Support Research-Intensive Learning with Digital Media","Full Project","N/A",,"To help learners learn more effectively in  today’s pervasive digital media  our research focuses on three goals: (1) building state-of-the-art software that unobtrusively gathers data about these activities, (2) adapting and inventing powerful techniques that use these data to build models of what makes learning effective, and (3) developing and testing software tools that help learners learn by providing clear and helpful guidance and feedback they need to extend knowledge and build skills for learning online. ","Philip H. Winne
Simon Fraser University ","Dragan Gasevic
Athabasca University ","Alfred Essa
Desire2Learn Inc","Learning","Big Data
Work
Healthcare","RILDIM.pdf",
"SENSEMAKING++","People making sense of messy data","Full Project","N/A","MIDEASS","We have more data than we can understand. We call this phenomenon Big Data. It will only get worse. Almost every human endeavour can benefit from making sense of the information within such data. A wide range of disciplines each bring specific concepts, techniques and tool to the general task of interrogating, visualizing, analyzing and understanding complex data. All contribute. None suffice. It is, however, widely understood that effective approaches and systems will combine human and machine capabilities. We need better and more comprehensive models for sensemaking. That is why this project is called Sensemaking++.","Wolfgang Stuerslinger
York University ","Melanie Tory
University of Victoria","Stephan Jou
Technical Architect, Research Staff
& Sr Technical Staff
IBM","Big Data","Entertainment
Learning
Sustainability
Work","SENSEMAKING.pdf",
"SHARE","New Media for Sharing Ideas, Values and Experiences","Full Project","N/A","MIDEASS","One of the most powerful emerging uses of technology has been to support shared human 
activities, wherever, whenever and however they are. Groups accomplish great things when they can easily communicate and build common ground with one another.  In this project, we are creating and harnessing technological advances for sharing ideas, values, and experiences to improve the cultural, economic and social lives of Canadians. For each SHARE sub-project, sharing drives the research inquiry, invention and innovation in specific domains.","Anthony Tang
University of Calgary","Sid Fels
University of British Columbia","Gerald Morrison,
SMART Technologies","Work","Big Data
Entertainment
Healthcare
Sustainability ","SHARE.pdf",
"SMARTMAIN","Identifying Personal Network Maintenance Strategies Using 
Smartphone Data","Subproject","USENET","N/A","This subproject will draw on a combination of interview, survey, and smartphone log data 
collected through a SSHRC Insight funded project. Drawing on the expertise of GRAND project members, it will leverage the rich information collected from this project to develop a typology of common strategies that networked individuals use to maintain their social ties. It will further examine how the maintenance of these ties enables network individuals to leverage social support and information.  ","Jeffrey Boase
Ryerson University","Anabel Quan-Haase
UWO",,,,"SMARTMAIN.pdf",
"SNETS","Student Networks and Labour Market Outcomes","Subproject","CRI
ENOW
NIND","N/A","We will examine the professional networks of students and how these networks affect their
 training and labour market outcomes after leaving GRAND. The project is informed by and extends NAVEL’s insights to HQPs. To identify the unique value of GRAND, we will compare GRAND HQPs with comparable groups of students outside GRAND. The study will address the real-world issue of how to prepare young Canadians for the knowledge economy and will assist GRAND HQPs’ networking and training. ","Alexadra Marin
University of Toronto","Eleni Stroulia
University of Alberta","Luc De Nil
Vice-Dean, Students
School of Graduate Studies,
U Toronto","Work","Learning","SNETS.pdf",
"SOCIABLE","The consequences of user-centred societies for persons with disabilities","Subproject","USENET","N/A","In this project the primary goal will be to examine the ways in which increasingly networked 
societies supported by mobile communication infrastructures have affected the social and information practices of persons with disabilities. As a specific and in many ways more marginal types of users this project seeks to identify 1) the extent to which persons with registered physical and/or cognitive disabilities are participating in user-centred societies, and 2) any information practices unique to persons in this population.","Rhonda McEwen
University of Toronto",,"Jutta Treviranus
OCAD Unviersity ","Citizenship
","Sustainability 
Learning
Healthcare
Other","SOCIABLE.pdf",
"SYNTHH","SynthH: Creating a synthetic, physical, social and emotional, human 
for applications in health and entertainment ","Full Project","N/A","SYNTHHGEN","We are creating the technology for synthesizing human behaviours. This includes physical, 
social and emotional aspects of being human. Using biomechanics, motion capture and robotic technologies, we will create a lifelike computational as well as physical model of a person that will respond physically to the world as we do. Using social theories of behaviour and emotional models, our synthetic human will behave in groups and respond with the appropriate emotional responses in different situations. ","Sidney Fels
University of British Columbia","Ian Stavness
University of  Saskatchewan","Azam Kahn
Head, Environment & Ergonomics 
Research Group,
Autodesk","Healthcare","Entertainment
Big Data","SYNTHH.pdf",
"SYNTHHGEN","Easy generation of a population of synthetic characters with animation
 controllers based on a user provided character","Subproject","SYNTHH","N/A","Recent character creation approaches let users create humanoid characters by mixing polygon 
meshes from a collection of ready-made “ancestor characters”. The created character is also provided with animation setups (blend shapes and skeleton), making it easy to animate the created character. A limitation of the “ancestor based” creation approach is that the basis of character shapes that they work from is limited. The purpose of this project is to allow the user to propose his own “artistic signature” polygon mesh, and create similar characters, with the ease of ancestor mixing. ","Eric Paquette
École de technologie supérieure",,"Michel Fleury
Researcher,
Autodesk","Entertainment","Healthcare","SYNTHHGEN.pdf",
"SYNTHO","Distributed real-time interaction with 3D objects","Full Project","N/A",,"At the 2013 GRAND Conference, Chris Anderson presented the idea of ""rip-modify-make"" as 
the 3D variant of the ""rip-mix-burn"" metaphor from the music industry. What are the implications of this concept when applied to near real-time creation and editing of 3D objects, along with the possibility of distributed interaction with them?","Jeremy Cooperstock,
McGill University ","Ian Stavness
University of Saskatchewan","TBD
Autodesk","Work","Entertainment
Learning
Healthcare
Big Data","SYNTHO.pdf",
"TAMP","Technology-assisted and Motivational Program to prevent 
and Manage Gaze, Mobility and Cognitive decline With Age and disease.","Subproject","G4HLTH","N/A","Interactive therapeutic gaming & Telerehabilitation platform for “Neural Fitness” blended 
approach for balance, mobility gaze fine motor skills and cognitive functions. Diverse clinical utility, seamless transition and delivery of high-quality and personalized rehabilitation and learning programs with automated monitoring in the home, school, or community facilities (Urban and rural).","Tony Szturm 
School of Medical Rehabilitation, 
University of Manitoba.","Bin Zheng M.D.
Department of Surgery, University of Alberta","Tony Szturm 
School of Medical Rehabilitation, 
University of Manitoba","Healthcare","Learning","TAMP.pdf",
