"POSTER_ID","Title","AUTHOR","GRAND PROJECT"
"PDpaper132.pdf","ACM: Atlas of Connectivity Maps for Semiregular Models","Ali Mahdavi Amiri","PROMO"
"PDpaper126.pdf","Automatic rule generation from sketch drawing for realistic 3D tree modeling using genetic programming","Kaveh Hassani","PROMO"
"PDpaper120.pdf","Natural User Interfaces In A Health Care Environment","Mohammad Salimian","SHRDSP"
"PDpaper170.pdf","An Architecture for Web-Based Distributed Multi-Touch Applications","Jeff Wilson","SHRDSP"
"PDpaper189.pdf","Interaction Techniques for an Electronic Paper Computer with Multiple Large Flexible Electrophoretic Displays","Aneesh Tarun","SHRDSP"
"PDpaper106.pdf","A One-Handed Multi-Touch Mating Method for 3D Rotations","Doug Scheurich","SHRDSP"
"PDpaper172.pdf","OrMiS: When Simulation-Based Training meets Interactive Surfaces","Christophe Bortolaso","SIMUL"
"PDpaper144.pdf","A Mobile Platform for Personalized Simulations of Colour Vision Deficiency","Mike Sheinin","SIMUL"
"PDpaper143.pdf","Deep Convolutional Neural Networks for speech recognition","Abdel-rahman Mohamed","SIMUL"
"PDpaper229.pdf","JunctionBox: A Toolkit that Enables Sketching with Sound","Lawrence Fyfe","SKETCH"
"PDpaper225.pdf","Sketch-Based Dance Choreography","Elahe Moghaddam","SKETCH"
"PDpaper231.pdf","Sketch based interface to facilitate collaborative surgical planning","Kamyar Abhari","SKETCH"
"PDpaper187.pdf","Multi-touch interactions on hand-held perspective-corrected 3D displays","Yichen Tang","VIRTPRES"
"PDpaper171.pdf","Toward a Simplified Method for Digital Video Illumination","Naoto Hieda","VIRTPRES"
"PDpaper104.pdf","Pointing at Perspective Scaled 3D Targets","Robert Teather","VIRTPRES"
"PDpaper160.pdf","Real-Time Emergency Response: Modern Tools for Modern Disasters","Severin Smith","VIRTPRES"
"PDpaper246.pdf","Visualization of Medical Interviews with Physicians and Caregivers of Children with Fetal Alcoholl Spectrum Disorder","Milan Tofoloski","VSS"
"PDpaper176.pdf","Over the Influence: Recommunicating FASD","Marjan Verstappen","VSS"
"PDpaper199.pdf","User-Adaptive Interventions for Information Visualization, Individual Differences and Eye tracking","Dereck Toker","VSS"
